[16:49:39] [171/216] expand_50k 0.001 s2 numpy_event_driven: 1992.8 us/step, peak RSS 160 MiB, ac 49% (2.4s)
[16:49:40] [172/216] expand_10k 0.01 s3 compiled_event_driven: 41.6 us/step, peak RSS 169 MiB, ac 49% (0.5s)
[16:49:41] [173/216] expand_10k 0.001 s3 compiled_time_step: 12.3 us/step, peak RSS 168 MiB, ac 49% (0.5s)
[16:49:41] [174/216] expand_1k 0.1 s1 compiled_event_driven: 8.3 us/step, peak RSS 157 MiB, ac 49% (0.5s)
[16:49:41] [175/216] expand_1k 0.1 s3 numpy_time_step: 27.5 us/step, peak RSS 91 MiB, ac 49% (0.4s)
[16:49:42] [176/216] expand_1k 0.5 s2 numpy_event_driven: 143.3 us/step, peak RSS 93 MiB, ac 49% (0.5s)
[16:49:42] [177/216] expand_10k 0.0001 s2 numpy_time_step: 17.1 us/step, peak RSS 103 MiB, ac 49% (0.4s)
[16:49:43] [178/216] expand_50k 0.0001 s1 numpy_time_step: 354.9 us/step, peak RSS 155 MiB, ac 49% (0.7s)
[16:49:44] [179/216] expand_1k 0.01 s2 numpy_event_driven: 53.4 us/step, peak RSS 91 MiB, ac 49% (0.4s)
[16:49:44] [180/216] expand_10k 0.5 s1 compiled_event_driven: 410.6 us/step, peak RSS 187 MiB, ac 49% (0.9s)
[16:49:45] [181/216] expand_50k 0.0001 s1 compiled_event_driven: 179.7 us/step, peak RSS 216 MiB, ac 49% (0.7s)
[16:49:46] [182/216] expand_50k 0.01 s1 compiled_event_driven: 367.0 us/step, peak RSS 218 MiB, ac 49% (0.9s)
[16:49:46] [183/216] expand_1k 1e-05 s1 numpy_time_step: 2.3 us/step, peak RSS 90 MiB, ac 49% (0.4s)
[16:49:47] [184/216] expand_10k 0.1 s2 compiled_time_step: 69.7 us/step, peak RSS 172 MiB, ac 49% (0.6s)
[16:49:47] [185/216] expand_1k 1e-05 s2 compiled_time_step: 0.5 us/step, peak RSS 155 MiB, ac 49% (0.5s)
[16:49:48] [186/216] expand_10k 1e-05 s1 compiled_time_step: 5.7 us/step, peak RSS 168 MiB, ac 50% (0.5s)
[16:49:49] [187/216] expand_1k 0.001 s2 compiled_event_driven: 0.7 us/step, peak RSS 156 MiB, ac 50% (0.5s)
[16:49:49] [188/216] expand_50k 1e-05 s1 compiled_event_driven: 101.9 us/step, peak RSS 216 MiB, ac 50% (0.7s)
[16:49:50] [189/216] expand_1k 0.01 s1 compiled_time_step: 1.3 us/step, peak RSS 155 MiB, ac 50% (0.5s)
[16:49:50] [190/216] expand_1k 1e-05 s3 compiled_time_step: 0.5 us/step, peak RSS 155 MiB, ac 50% (0.6s)
[16:49:51] [191/216] expand_50k 0.01 s3 numpy_time_step: 672.8 us/step, peak RSS 174 MiB, ac 50% (1.1s)
[16:49:55] [192/216] expand_50k 0.01 s2 numpy_event_driven: 3204.5 us/step, peak RSS 177 MiB, ac 50% (3.6s)
[16:50:08] [193/216] expand_50k 0.5 s1 numpy_event_driven: 12591.2 us/step, peak RSS 617 MiB, ac 50% (13.0s)
[16:50:08] [194/216] expand_1k 1e-05 s2 numpy_event_driven: 1.0 us/step, peak RSS 90 MiB, ac 50% (0.4s)
[16:50:09] [195/216] expand_10k 0.001 s2 numpy_event_driven: 306.4 us/step, peak RSS 106 MiB, ac 50% (0.7s)
[16:50:10] [196/216] expand_50k 0.001 s1 compiled_time_step: 97.5 us/step, peak RSS 214 MiB, ac 50% (0.6s)
[16:50:10] [197/216] expand_10k 0.1 s1 compiled_event_driven: 140.9 us/step, peak RSS 172 MiB, ac 50% (0.7s)
[16:50:11] [198/216] expand_1k 0.1 s2 compiled_time_step: 3.9 us/step, peak RSS 156 MiB, ac 50% (0.5s)
[16:50:12] [199/216] expand_50k 0.0001 s3 compiled_time_step: 92.7 us/step, peak RSS 214 MiB, ac 50% (0.6s)
[16:50:12] [200/216] expand_1k 0.1 s2 numpy_event_driven: 85.7 us/step, peak RSS 91 MiB, ac 50% (0.5s)
